accelerometer,gyroscope,overall_angle,time
"{'x': 2.128445275878906, 'y': -1.388636962890625, 'z': 8.530540515136718}","{'x': -2.0, 'y': -0.8015267175572519, 'z': 1.015267175572519}",1.4915366231727099,2025-04-17 20:46:10.089183
"{'x': -3.3351229125976563, 'y': -8.82981572265625, 'z': -1.1444283935546875}","{'x': -3.900763358778626, 'y': -1.1984732824427482, 'z': -2.4656488549618323}",4.92865187119655,2025-04-17 20:46:20.095621
"{'x': 4.122815258789062, 'y': 6.440402465820312, 'z': 5.078101721191406}","{'x': 52.3206106870229, 'y': 84.47328244274809, 'z': -68.31297709923665}",52.56189370269316,2025-04-17 20:46:30.102165
"{'x': 2.8945898071289062, 'y': 1.8411410766601561, 'z': 8.113949426269532}","{'x': -0.9618320610687023, 'y': 0.16793893129770993, 'z': -0.9312977099236641}",51.11272663182119,2025-04-17 20:46:40.110555
"{'x': 2.882618798828125, 'y': 1.6998831787109374, 'z': 8.185775476074218}","{'x': -1.4045801526717556, 'y': -0.5725190839694656, 'z': -0.3435114503816794}",49.20208022449107,2025-04-17 20:46:50.122583
"{'x': 2.901772412109375, 'y': 1.6735469604492186, 'z': 8.195352282714843}","{'x': -1.16793893129771, 'y': -0.29770992366412213, 'z': -0.9389312977099237}",47.52554529257355,2025-04-17 20:47:00.129709
"{'x': 2.9544448486328125, 'y': 1.5777788940429687, 'z': 8.200140686035155}","{'x': -1.099236641221374, 'y': -0.061068702290076333, 'z': -1.213740458015267}",46.00583751307115,2025-04-17 20:47:10.136290
"{'x': 3.366247534179687, 'y': 1.0223241088867188, 'z': 8.176198669433592}","{'x': -1.3435114503816794, 'y': 0.15267175572519084, 'z': -0.7480916030534351}",44.47568424813707,2025-04-17 20:47:20.144871
"{'x': 3.2130186279296873, 'y': 0.9935936889648437, 'z': 8.037334973144532}","{'x': -1.213740458015267, 'y': -0.15267175572519084, 'z': -0.8778625954198473}",42.87090239397804,2025-04-17 20:47:30.151303
"{'x': 3.047818713378906, 'y': 0.833182177734375, 'z': 7.716511950683593}","{'x': -2.2977099236641223, 'y': 0.3511450381679389, 'z': -0.22137404580152673}",41.27430841326854,2025-04-17 20:47:40.158061
"{'x': 3.2441432495117186, 'y': 0.9337386474609375, 'z': 8.257601525878906}","{'x': -1.1374045801526718, 'y': -0.12213740458015267, 'z': -1.3740458015267176}",39.7760394074331,2025-04-17 20:47:50.165780
"{'x': 3.268085266113281, 'y': 0.8259995727539062, 'z': 8.152256652832031}","{'x': -0.9465648854961832, 'y': -0.03816793893129771, 'z': -0.8396946564885496}",38.38511065902712,2025-04-17 20:48:00.174079
"{'x': 3.1938650146484373, 'y': 0.8259995727539062, 'z': 8.092401611328125}","{'x': -1.0534351145038168, 'y': -0.17557251908396945, 'z': -1.1755725190839694}",36.93346583064359,2025-04-17 20:48:10.180771
"{'x': 3.2609026611328122, 'y': 0.023942016601562498, 'z': 8.25520732421875}","{'x': -9.442748091603054, 'y': -4.9541984732824424, 'z': -22.64885496183206}",31.209692269411228,2025-04-17 20:48:20.187434
"{'x': 3.9552211425781247, 'y': 0.11252747802734374, 'z': 7.9463553100585935}","{'x': -1.099236641221374, 'y': -0.3282442748091603, 'z': -1.0458015267175573}",29.71614128299993,2025-04-17 20:48:30.196120
"{'x': 3.450044592285156, 'y': 0.1149216796875, 'z': 8.224082702636718}","{'x': -1.3206106870229009, 'y': -0.22137404580152673, 'z': -1.1603053435114503}",28.34692854509107,2025-04-17 20:48:40.205971
"{'x': 3.414131567382812, 'y': 0.00718260498046875, 'z': 8.197746484375}","{'x': -1.1526717557251909, 'y': -0.32061068702290074, 'z': -1.0534351145038168}",26.98681041904479,2025-04-17 20:48:50.216135
"{'x': 3.517082238769531, 'y': 0.08858546142578125, 'z': 8.24802471923828}","{'x': -1.251908396946565, 'y': -0.20610687022900764, 'z': -1.1450381679389312}",25.70175779307216,2025-04-17 20:49:00.229556
"{'x': 3.4524387939453125, 'y': 0.16998831787109375, 'z': 7.979874133300781}","{'x': -1.2290076335877862, 'y': 2.1603053435114505, 'z': -0.9007633587786259}",25.742915027052238,2025-04-17 20:49:10.242100
