hour,overall_angle
2025-04-17 20:00:00,17.9
2025-04-17 21:00:00,72.2
2025-04-17 22:00:00,81.9
2025-04-17 23:00:00,64.5
2025-04-18 00:00:00,37.9
2025-04-18 01:00:00,30.6
2025-04-18 02:00:00,44.9
2025-04-18 03:00:00,45.3
2025-04-18 04:00:00,45.8
2025-04-18 05:00:00,46.2
2025-04-18 06:00:00,46.3
2025-04-18 07:00:00,46.8
2025-04-18 08:00:00,46.9
2025-04-18 09:00:00,46.6
2025-04-18 10:00:00,46.9
2025-04-18 11:00:00,46.9
2025-04-18 12:00:00,32.1
2025-04-18 13:00:00,27.8
2025-04-18 19:00:00,31.3
2025-04-18 20:00:00,38.0
2025-04-18 21:00:00,37.5
2025-04-18 22:00:00,37.2
2025-04-19 15:00:00,32.5
2025-04-19 16:00:00,31.4
2025-04-22 23:00:00,74.4
2025-04-23 00:00:00,38.2
2025-04-25 14:00:00,12.2
2025-04-25 15:00:00,8.5
2025-04-25 16:00:00,10.8
2025-04-25 17:00:00,12.1
2025-04-25 18:00:00,12.2
2025-04-25 19:00:00,57.1
2025-04-25 20:00:00,137.8
