hour,angle
2025-04-25 00:00:00,37.0
2025-04-25 01:00:00,37.0
2025-04-25 02:00:00,36.7
2025-04-25 03:00:00,37.0
2025-04-25 04:00:00,25.7
2025-04-25 05:00:00,7.3
2025-04-25 06:00:00,7.3
2025-04-25 07:00:00,7.3
2025-04-25 08:00:00,7.3
2025-04-25 09:00:00,7.3
2025-04-25 10:00:00,7.3
2025-04-25 11:00:00,7.3
2025-04-25 12:00:00,7.2
2025-04-25 13:00:00,7.2
2025-04-25 14:00:00,7.2
2025-04-25 15:00:00,7.2
2025-04-25 16:00:00,8.6
2025-04-25 17:00:00,12.8
2025-04-25 18:00:00,13.3
2025-04-25 19:00:00,31.4
2025-04-25 20:00:00,56.9
2025-04-25 21:00:00,37.1
2025-04-25 22:00:00,37.0
2025-04-25 23:00:00,37.0
