accelerometer,gyroscope,overall_angle,time
"{'x': 0.0, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 1.786259541984733}",0.0,2025-04-17 13:13:54.263472
"{'x': 6.138733056640625, 'y': -1.608903515625, 'z': 7.589619262695312}","{'x': -14.122137404580153, 'y': -51.2442748091603, 'z': 15.702290076335878}",30.635459985184685,2025-04-17 13:14:04.270300
"{'x': 0.41419688720703124, 'y': 0.45968671875, 'z': 8.777143286132812}","{'x': 0.21374045801526717, 'y': 2.717557251908397, 'z': 9.732824427480915}",28.556565464971516,2025-04-17 13:14:14.282114
"{'x': 0.30885201416015623, 'y': -6.402095239257812, 'z': 6.198588098144531}","{'x': 2.877862595419847, 'y': -1.748091603053435, 'z': 2.4198473282442747}",28.793715669741744,2025-04-17 13:14:24.288988
"{'x': 4.024652990722656, 'y': 4.067748620605468, 'z': 6.924031201171875}","{'x': 1.8549618320610688, 'y': 0.6183206106870229, 'z': -0.4122137404580153}",28.06222592110432,2025-04-17 13:14:34.295808
"{'x': 0.9935936889648437, 'y': 0.11731588134765625, 'z': 8.59997236328125}","{'x': -1.0, 'y': 0.07633587786259542, 'z': -0.8778625954198473}",27.694472391342682,2025-04-17 13:14:44.303312
"{'x': 1.0678139404296874, 'y': 0.30406361083984373, 'z': 8.710105639648438}","{'x': -1.0381679389312977, 'y': -0.2900763358778626, 'z': -0.9923664122137404}",27.551539008808618,2025-04-17 13:14:54.309660
"{'x': 0.9983820922851562, 'y': 0.229843359375, 'z': 8.772354882812499}","{'x': -1.1297709923664123, 'y': 0.10687022900763359, 'z': -1.1068702290076335}",27.207949047110677,2025-04-17 13:15:04.316486
"{'x': 0.9600748657226562, 'y': 0.23702596435546874, 'z': 8.659827404785156}","{'x': -1.015267175572519, 'y': -0.25190839694656486, 'z': -0.9389312977099237}",27.05758841265505,2025-04-17 13:15:14.323159
"{'x': 0.9911994873046874, 'y': 0.15562310791015624, 'z': 8.650250598144531}","{'x': -1.1068702290076335, 'y': -0.45038167938931295, 'z': -1.0076335877862594}",27.046130102851883,2025-04-17 13:15:24.342043
"{'x': 1.0438719238281249, 'y': 0.14604630126953125, 'z': 8.719682446289061}","{'x': -1.1221374045801527, 'y': -0.16030534351145037, 'z': -1.450381679389313}",26.895948804542325,2025-04-17 13:15:34.350694
"{'x': 0.9744400756835937, 'y': 0.2825157958984375, 'z': 8.583212951660157}","{'x': -1.2366412213740459, 'y': -0.366412213740458, 'z': -1.0305343511450382}",26.876410917503897,2025-04-17 13:15:44.360584
"{'x': 0.9935936889648437, 'y': 0.181959326171875, 'z': 8.86094034423828}","{'x': -1.1374045801526718, 'y': -0.3969465648854962, 'z': -1.0229007633587786}",26.868413722833136,2025-04-17 13:15:54.367153
"{'x': 0.948103857421875, 'y': 0.16041151123046873, 'z': 8.659827404785156}","{'x': -1.083969465648855, 'y': -0.19083969465648856, 'z': -1.0076335877862594}",26.747740106186537,2025-04-17 13:16:04.377501
